'14609','0','7','0','0','0'
'14609','1','7','73652','3','1'
'14609','2','7','736554','3','1'
'14609','3','7','736559','3','1'
'14609','4','7','736560','3','1'
'14609','5','7','736567','3','1'
'14609','6','7','736561','3','1'
'14609','7','7','736555','3','1'
'14609','8','7','736565','3','1'
'14609','9','7','736556','3','1'
'14609','10','7','736557','3','1'
'14609','11','7','736550','3','1'
'14609','12','7','736552','3','1'
'14609','13','7','736553','3','1'
'14609','14','7','736563','3','1'
'14609','15','7','736551','3','1'
'14609','16','7','736566','3','1'
'14609','17','7','736562','3','1'
'14609','18','7','736558','3','1'
'14609','19','7','73654','3','1'
'14609','20','7','736569','3','1'
'14609','21','7','736564','3','1'
