'14609','0','0','0','4'
'14609','1','7','1','0'
'14609','2','7','1','0'
'14609','3','7','1','0'
'14609','4','16','1','1'
'14609','5','7','1','0'
'14609','6','5','1','0'
'14609','7','16','1','1'
'14609','8','7','1','0'
'14609','9','7','1','0'
'14609','10','7','1','0'
'14609','11','7','1','0'
'14609','12','7','1','0'
'14609','13','7','1','0'
'14609','14','7','1','0'
'14609','15','5','1','0'
'14609','16','7','1','0'
'14609','17','7','1','0'
'14609','18','7','1','0'
'14609','19','5','1','0'
'14609','21','7','1','0'
'14609','40','17','1','1'
'14609','41','7','1','0'
'14609','42','10','1','0'
'14609','43','20','1','0'
'14609','44','19','1','0'
'14609','45','19','1','0'
'14609','46','20','1','0'
'14609','50','7','1','0'
